"","sentence","response","YMin","YMax","prev","prevLow","prevHigh"
"1","Cardinals are red.",0.989010989010989,0.967032967032967,1,0.755396939326122,0.621781381778419,0.869133792119101
"2","Ducks have wings.",0.945054945054945,0.89010989010989,0.989010989010989,0.98528261455456,0.952113358536735,0.999826505314559
"3","Kangaroos have pouches.",0.967032967032967,0.923076923076923,1,0.699239780720229,0.658115239813924,0.79577007656917
"4","Kangaroos have spots.",0.032967032967033,0,0.0769230769230769,0.0495338354591356,0.00104801869019866,0.134681231342256
"5","Leopards are juvenile.",0.142857142857143,0.0769230769230769,0.21978021978022,0.283284824962152,0.22889297734946,0.382011764217168
"6","Leopards have spots.",0.956043956043956,0.912087912087912,0.989010989010989,0.927226471513427,0.85923890536651,0.990325882798061
"7","Leopards have wings.",0.021978021978022,0,0.0549450549450549,0.0104366376974017,0.000207207864150405,0.0410708079580218
"8","Lions are male.",0.571428571428571,0.472527472527473,0.67032967032967,0.498839413899671,0.466265551513061,0.538563792826608
"9","Lions have manes.",0.945054945054945,0.89010989010989,0.989010989010989,0.542764276962063,0.480896742781624,0.629569927463308
"10","Lions lay eggs.",0,0,0,0.00129253991593402,0.000417968025431037,0.0425255636218935
"11","Mosquitos attack swimmers.",0.384615384615385,0.285714285714286,0.494505494505495,0.265454944689312,0.0837412853725255,0.392468511592597
"12","Mosquitos carry malaria.",0.989010989010989,0.967032967032967,1,0.472484868587525,0.380777547834441,0.528622926212847
"13","Mosquitos dont carry malaria.",0.0769230769230769,0.032967032967033,0.131868131868132,0.58675881950588,0.505473502911627,0.652875559404492
"14","Peacocks dont have beautiful feathers.",0.021978021978022,0,0.0549450549450549,0.174099612104617,0.00482849101535976,0.275186764076352
"15","Peacocks have beautiful feathers.",0.989010989010989,0.967032967032967,1,0.919712271316323,0.777252254076302,0.999940872890875
"16","Robins are female.",0.428571428571429,0.32967032967033,0.527472527472527,0.519046338269183,0.478416471974924,0.554352337028831
"17","Robins carry malaria.",0.0549450549450549,0.010989010989011,0.0989010989010989,0.0535300333466738,0.0161219381261617,0.0908769909292459
"18","Robins lay eggs.",0.934065934065934,0.879120879120879,0.978021978021978,0.68466025330418,0.611086268676445,0.749269347870722
"19","Sharks are white.",0.340659340659341,0.252747252747253,0.43956043956044,0.322374680404316,0.157666394719854,0.446386506548151
"20","Sharks attack swimmers.",0.879120879120879,0.813186813186813,0.945054945054945,0.417963477783538,0.319999280851334,0.547203026711941
"21","Sharks dont attack swimmers.",0.230769230769231,0.153846153846154,0.318681318681319,0.592714973597822,0.498441851930693,0.751181798055768
"22","Sharks have manes.",0.043956043956044,0.010989010989011,0.0989010989010989,0.0030592759333418,0.000488030957058072,0.0573658992070705
"23","Sharks lay eggs.",0.0879120879120879,0.032967032967033,0.142857142857143,0.185489704328915,0.00628519733436406,0.412633170373738
"24","Swans are full-grown.",0.725274725274725,0.637087912087912,0.802197802197802,0.597204269083175,0.509664599318057,0.66023920988664
"25","Swans are white.",0.901098901098901,0.835164835164835,0.967032967032967,0.672685022759678,0.570550029166043,0.737543918192387
"26","Ticks carry Lyme disease.",0.967032967032967,0.923076923076923,1,0.426290579869596,0.399554278934374,0.542233175365254
"27","Ticks dont carry Lyme disease.",0.043956043956044,0.010989010989011,0.0879120879120879,0.55093645014062,0.465862494893372,0.608075658325106
"28","Tigers dont eat people.",0.296703296703297,0.197802197802198,0.384615384615385,0.652648892672156,0.568895674543455,0.976513864705339
"29","Tigers eat people.",0.692307692307692,0.593406593406593,0.78021978021978,0.373440887266992,0.233400920405984,0.4988527612295
"30","Tigers have pouches.",0.010989010989011,0,0.032967032967033,0.0203837456960639,0.000291363103315234,0.122521442361176
