"","Property","Category","map","credLow","credHigh"
"1","are female","Robins",0.519046338269183,0.478416471974924,0.554352337028831
"2","are full-grown","Swans",0.597204269083175,0.509664599318057,0.66023920988664
"3","are juvenile","Leopards",0.283284824962152,0.22889297734946,0.382011764217168
"4","are male","Lions",0.498839413899671,0.466265551513061,0.538563792826608
"5","are red","Cardinals",0.755396939326122,0.621781381778419,0.869133792119101
"6","are white","Sharks",0.322374680404316,0.157666394719854,0.446386506548151
"7","are white","Swans",0.672685022759678,0.570550029166043,0.737543918192387
"8","attack swimmers","Mosquitos",0.265454944689312,0.0837412853725255,0.392468511592597
"9","attack swimmers","Sharks",0.417963477783538,0.319999280851334,0.547203026711941
"10","carry Lyme disease","Ticks",0.426290579869596,0.399554278934374,0.542233175365254
"11","carry malaria","Mosquitos",0.472484868587525,0.380777547834441,0.528622926212847
"12","carry malaria","Robins",0.0535300333466738,0.0161219381261617,0.0908769909292459
"13","dont attack swimmers","Sharks",0.592714973597822,0.498441851930693,0.751181798055768
"14","dont carry Lyme disease","Ticks",0.55093645014062,0.465862494893372,0.608075658325106
"15","dont carry malaria","Mosquitos",0.58675881950588,0.505473502911627,0.652875559404492
"16","dont eat people","Tigers",0.652648892672156,0.568895674543455,0.976513864705339
"17","dont have beautiful feathers","Peacocks",0.174099612104617,0.00482849101535976,0.275186764076352
"18","eat people","Tigers",0.373440887266992,0.233400920405984,0.4988527612295
"19","have beautiful feathers","Peacocks",0.919712271316323,0.777252254076302,0.999940872890875
"20","have manes","Lions",0.542764276962063,0.480896742781624,0.629569927463308
"21","have manes","Sharks",0.0030592759333418,0.000488030957058072,0.0573658992070705
"22","have pouches","Kangaroos",0.699239780720229,0.658115239813924,0.79577007656917
"23","have pouches","Tigers",0.0203837456960639,0.000291363103315234,0.122521442361176
"24","have spots","Kangaroos",0.0495338354591356,0.00104801869019866,0.134681231342256
"25","have spots","Leopards",0.927226471513427,0.85923890536651,0.990325882798061
"26","have wings","Ducks",0.98528261455456,0.952113358536735,0.999826505314559
"27","have wings","Leopards",0.0104366376974017,0.000207207864150405,0.0410708079580218
"28","lay eggs","Lions",0.00129253991593402,0.000417968025431037,0.0425255636218935
"29","lay eggs","Robins",0.68466025330418,0.611086268676445,0.749269347870722
"30","lay eggs","Sharks",0.185489704328915,0.00628519733436406,0.412633170373738
